title,description,subscribers_num,subscribers_num_goal,place,date
Chcemy unijnego zakazu wykorzystywania dzikich zwierząt w cyrkach!,Spanish/French/Italian/Dutch/EnglishWed,897 073,1 000 000,pl,2019-11-08T12:35:35Z
Верните лекарства больным муковисцидозом, Мы родители детей-инвалидов с диагнозом муковисцидоз (CF кистозный фиброз) н,216 421,300 000,ru,2019-11-20T21:01:37Z
NIE dla zakazu edukacji seksualnej w Polsce!,PL / ENG / ITAWczoraj w sejmie odbyło się pierwsze czytanie projektu obywatelskieg,36 288,50 000,pl,2019-10-16T12:48:10Z
Требуем освободить Егора Жукова и прекратить уголовное дело против него!,Меня зовут Екатерина Богатова у меня ,121 461,150 000,ru,2019-10-09T21:08:16Z
Domagamy się umorzenia sprawy karnej wobec sióstr Chaczaturian!,RU / PL / ENG / DEW lipcu 2018 w Moskwie siostry Kristina Angelina i Maria Chaczaturian zab,368 890,500 000,pl,2019-07-03T15:23:39Z
Требуем принять закон против домашнего насилия,ENВ Российской Федерации 40% всех тяжких насильственных преступлений соверша,895 426,1 000 000,ru,2014-11-15T17:55:55Z
Zatrzymaj cenzurę. Uratuj internet!,English | Dutch | German | Italian | Romanian | Spanish | French | Portuguese | Polish | FinnishZatrzymaj cenzurę. Uratuj internet!Wspom,5 326 128,6 000 000,pl,2018-06-15T07:39:39Z
Петиция ЗА запрет пальмового масла с глицидиловыми эфирами,Президенту Российской Федерации В.В. ПУТИНУ _________________,212 024,300 000,ru,2019-10-07T10:39:34Z
Не принимать закон Об обращении с животными до отражения в нём предложений зоозащитников,                                       Закон «Об обращ,207 268,300 000,ru,2013-02-15T11:36:48Z
Отмените срочную службу по призыву,Вы можете себе представить что инженер приходя на работу подвергается избиен,81 666,150 000,ru,2019-11-06T17:01:57Z
Joan i Lynn chcą Zielonej Karty dla Europy #EUGreenCard,Jesteśmy dwiema osobami jedna z Wielkiej Brytanii a druga z UE którzy prowadzą ka,64 045,75 000,pl,2019-02-16T11:43:20Z
Бро не багаж! Аэрофлот меняйте правила – требуем разрешить перевозку кошек в салоне!,Аэрофлот и другие авиа! Меняйте прави,4 442,5 000,ru,2019-11-13T11:21:16Z
#BringHerBack - domagamy się powrotu Ludmiły Kozłowskiej do UE!,WERSJA POLSKA / English / Deutsche / Française / Italiana / Українська / Русск,33 884,35 000,pl,2018-08-22T13:08:32Z
Нет издевательствам над животными! Требуем закрыть кровавую лабораторию в Германии!,RU / DE / EN / ITA / ES / PL / FR / ES-LAT,1 054 234,1 500 000,ru,2019-10-31T10:13:58Z
Starbucks wiemy że stać was na lepsze kubki! #BetterCup,Nazywamy się Mya i Eve mamy 11 lat i jesteśmy uczennicami 6 klasy szkoły podstawowej ,357 528,500 000,pl,2018-03-12T16:45:09Z
